state,abbr,link,homevalue,med_income,fthb,fico,origltv,dti,orignoterate,conv,fha,va,ltv_fico,share_loans_20,share_loans_35,aff_index_20,aff_index_35,agency,hfas,total
United States,US,,269679.892,74190.29,52.5,730,95,38.58,4.179,60.3,24.8,11.2,23,33.6,33.7,20.4,23.44,,2527,1304
Alabama,AL,http://www.ahfa.com/,201216.937,61606.63,49.7,724,96.49,36,4.092,48.4,27.8,15.3,29.9,24.1,43.4,17.91,20.58,the Alabama Housing Finance Authority,17,11
Alaska,AK,https://www.ahfc.us/,308109.069,90185.97,50.6,735,97,39,3.95,41.8,19.1,30.5,25.6,20,51.9,19.41,22.3,the Alaska Housing Finance Corp.,17,6
Arizona,AZ,https://housing.az.gov/,258353.857,66545.47,48.6,727,95,39,4.35,62.6,23.8,12.2,22.2,34.5,32.2,22.36,25.7,the Arizona Department of Housing,45,32
Arkansas,AR,http://adfa.arkansas.gov/,179028.603,56829.64,50.7,720,96.38,35.93,4.068,47.1,26.5,12.7,30.4,23.8,45.3,17.03,19.57,the Arkansas Development Finance Authority,13,4
California,CA,http://www.calhfa.ca.gov/,437732.385,81171.22,55.3,732,90,42,4.237,64.3,25.5,9.4,18.9,43.4,27.6,35.73,41.06,the California Housing Finance Agency,397,241
Colorado,CO,https://www.chfainfo.com/,352726.392,83998.24,46.8,743,90,40,4.223,65.1,19.7,13.9,18.6,40.6,30.6,24.96,28.68,the Colorado Housing and Finance Authority,90,31
Connecticut,CT,http://www.chfa.org,265670.771,97025.25,61.8,732,95,39,4.061,62.8,29.1,6.1,21.4,32.8,31.2,15.27,17.55,the Connecticut Housing Finance Agency,36,16
Delaware,DE,http://www.destatehousing.com,272228.495,79928.57,49.6,736,95,38,4.172,58.3,26.5,9.9,24.5,35.8,36.1,17.75,20.4,the Delaware State Housing Authority,22,7
District of Columbia,DC,http://www.dchfa.org,495860.419,101408.43,64.7,764,85,36,4.154,84.6,8.6,6.8,6,43.7,15.6,34.2,39.3,the District of Columbia Housing Finance Agency,256,113
Florida,FL,http://www.floridahousing.org,252621.666,63681.2,50.8,724,94.99,40,4.262,58.9,26.8,12.8,22.9,35.6,31.7,21.5,24.7,the Florida Housing Finance Corporation,72,31
Georgia,GA,http://www.dca.ga.gov,239122.425,67241.52,53.2,722,95,38,4.151,53.1,29.4,14,28.8,28.5,40.3,18.29,21.01,the Georgia Department of Community Affairs/Georgia Housing Finance Authority,7,4
Hawaii,HI,http://www.hawaii.gov/dbedt/hhfdc,530287.206,90862.93,52,750,90,42,4.061,60.2,6.7,27.5,12.9,41.1,32.8,36.71,42.18,the Hawaii Housing Finance and Development Corporation,20,8
Idaho,ID,http://www.idahohousing.com,237453.915,65428.43,43.9,731,95,38,4.023,62.7,20.8,11.8,22.4,33.9,30.1,21.44,24.64,the Idaho Housing and Finance Association,45,23
Illinois,IL,http://www.ihda.org,231085.425,79790.63,57.5,732,94.04,38,4.173,68,24,5.9,20.7,34.7,26.9,15.17,17.43,the Illinois Housing Development Authority,30,14
Indiana,IN,http://www.ihcda.in.gov,177517.968,68867.85,52.9,718,95,35.87,4.217,55.8,29,8.2,29.5,26.4,39,14.52,16.68,the Indiana Housing and Community Development Authority,25,10
Iowa,IA,http://www.iowafinanceauthority.gov,189597.013,73775.26,49.2,736,95,35.23,4.036,69.7,16,8.6,20.4,33.3,30.6,12.65,14.53,the Iowa Finance Authority,15,11
Kansas,KS,http://www.kshousingcorp.org,197430.112,72025.76,49.9,731,95,36,4.094,58,24.9,12.7,24,26.5,37.7,16.02,18.41,the Kansas Housing Resources Corporation,27,10
Kentucky,KY,http://www.kyhousing.org,186619.307,60603.1,52.9,719,95,36,4.171,51.6,27.9,10.7,29.5,27,42.2,15.81,18.16,the Kentucky Housing Corporation,32,14
Louisiana,LA,http://www.lhc.la.gov,215767.4,59050.9,56.2,714,96.49,38,4.194,48,29.3,11.1,32.4,24.5,44.4,20.29,23.31,the Louisiana Housing Corporation,9,3
Maine,ME,http://www.mainehousing.org,234172.048,71104.13,48.2,731,95,38,4.121,56.7,22.2,12,24.5,33.3,36.8,21.27,24.44,MaineHousing,91,27
Maryland,MD,http://www.dhcd.maryland.gov,324921.274,99423.4,58.9,729,95,39.59,4.129,52.1,31.4,12.8,27.4,25.7,41.8,17.63,20.26,the Maryland Department of Housing and Community Development,82,57
Massachusetts,MA,http://www.masshousing.com,364245.368,99359.68,58,737,90,39,4.106,71.1,22,5.5,17.1,39.5,24.5,22.84,26.24,the MassHousing,44,26
Michigan,MI,http://www.michigan.gov/mshda,193168.052,70011.89,52.4,726,95,36,4.231,67.6,21.3,6.3,22.5,32,33.4,14.68,16.87,the Michigan State Housing Development Authority,39,29
Minnesota,MN,http://www.mnhousing.gov,246901.985,86102.15,51.5,741,95,37,4.098,69.9,19.2,6.6,18.1,32.8,29.7,15.97,18.34,Minnesota Housing,16,7
Mississippi,MS,http://www.mshomecorp.com,183425.074,53885.83,54.6,708,96.745,37,4.061,38.3,33.6,14.4,36.2,20,46.8,20.92,24.03,Mississippi Home Corporation,28,10
Missouri,MO,http://www.mhdc.com,191641.349,67230.15,49.6,729,95,36,4.138,56.1,26.1,10.3,26,29,37.8,16.45,18.9,the Missouri Housing Development Commission,14,5
Montana,MT,http://www.housing.mt.gov,262449.387,68609.46,43.3,744,91.57,38,4.028,64.5,15.2,13.6,17.3,37.9,31.5,22.98,26.4,the Montana Board of Housing/Housing Division,14,4
Nebraska,NE,http://www.nifa.org,198452.759,74961.33,51.5,738,95,36,4.029,64.1,19.6,12,20.2,30.4,34.7,13.96,16.04,the Nebraska Investment Finance Authority,24,11
Nevada,NV,http://www.housing.nv.gov,281286.481,68004.39,52,722,95,40,4.372,58.7,26.5,13.9,22.5,33.6,34.8,23.78,27.33,the Nevada Housing Division,9,3
New Hampshire,NH,http://www.nhhfa.org,272323.172,91122.41,52.3,736,95,39.555,4.129,63.4,23.1,9.8,20,33.4,33.7,17.3,19.87,the New Hampshire Housing Finance Authority,46,31
New Jersey,NJ,http://www.nj-hmfa.com,324377.798,97973.61,59.9,735,90,40,4.164,65.4,29.2,4.3,18.8,41,24.3,18.02,20.71,the New Jersey Housing and Mortgage Finance Agency,16,9
New Mexico,NM,http://www.housingnm.org,220290.888,58076.86,53,724,95,38,4.191,52.2,29.8,15.9,27.7,28.5,32.6,20.63,23.7,the New Mexico Mortgage Finance Authority,97,63
New York,NY,http://www.nyshcr.org,320343.872,80253.05,62.5,739,90,39.56,4.124,67.1,25.8,5.6,17.1,42.4,24.2,23.57,27.08,New York State Homes and Community Renewal,59,34
North Carolina,NC,http://www.nchfa.com,240713.963,64269.19,46.4,739,94,36.51,4.146,62,17.2,15.5,20.6,34.5,33.4,20.11,23.11,the North Carolina Housing Finance Agency,7,1
North Dakota,ND,http://www.ndhfa.org,250051.214,79840.89,46.5,746,94,36.555,3.977,67.8,15,13.5,16.3,35.2,29.2,17,19.53,the North Dakota Housing Finance Agency,50,30
