state,abbr,link,homevalue,med_income,fthb,fico,origltv,dti,orignoterate,conv,fha,va,ltv_fico,share_loans_20,share_loans_35,aff_index_20,aff_index_35,agency,hfas,total
United States,US,,269679.892,74190.29,52.50,730,95,38.58,4.179,60.30,24.80,11.20,23.00,33.60,33.70,20.40,23.44,,2527,1304
Alabama,AL,http://www.ahfa.com/,201216.937,61606.63,49.70,724,96.49,36,4.092,48.40,27.80,15.30,29.90,24.10,43.40,17.91,20.58,the Alabama Housing Finance Authority,17,11
Alaska,AK,https://www.ahfc.us/,308109.069,90185.97,50.60,735,97,39,3.95,41.80,19.10,30.50,25.60,20.00,51.90,19.41,22.30,the Alaska Housing Finance Corp.,17,6
Arizona,AZ,https://housing.az.gov/,258353.857,66545.47,48.60,727,95,39,4.35,62.60,23.80,12.20,22.20,34.50,32.20,22.36,25.70,the Arizona Department of Housing,45,32
Arkansas,AR,http://adfa.arkansas.gov/,179028.603,56829.64,50.70,720,96.38,35.93,4.068,47.10,26.50,12.70,30.40,23.80,45.30,17.03,19.57,the Arkansas Development Finance Authority,13,4
California,CA,http://www.calhfa.ca.gov/,437732.385,81171.22,55.30,732,90,42,4.237,64.30,25.50,9.40,18.90,43.40,27.60,35.73,41.06,the California Housing Finance Agency,397,241
Colorado,CO,https://www.chfainfo.com/,352726.392,83998.24,46.80,743,90,40,4.223,65.10,19.70,13.90,18.60,40.60,30.60,24.96,28.68,the Colorado Housing and Finance Authority,90,31
Connecticut,CT,http://www.chfa.org,265670.771,97025.25,61.80,732,95,39,4.061,62.80,29.10,6.10,21.40,32.80,31.20,15.27,17.55,the Connecticut Housing Finance Agency,36,16
Delaware,DE,http://www.destatehousing.com,272228.495,79928.57,49.60,736,95,38,4.172,58.30,26.50,9.90,24.50,35.80,36.10,17.75,20.40,the Delaware State Housing Authority,22,7
District of Columbia,DC,http://www.dchfa.org,495860.419,101408.43,64.70,764,85,36,4.154,84.60,8.60,6.80,6.00,43.70,15.60,34.20,39.30,the District of Columbia Housing Finance Agency,256,113
Florida,FL,http://www.floridahousing.org,252621.666,63681.2,50.80,724,94.99,40,4.262,58.90,26.80,12.80,22.90,35.60,31.70,21.50,24.70,the Florida Housing Finance Corporation,72,31
Georgia,GA,http://www.dca.ga.gov,239122.425,67241.52,53.20,722,95,38,4.151,53.10,29.40,14.00,28.80,28.50,40.30,18.29,21.01,the Georgia Department of Community Affairs/Georgia Housing Finance Authority,7,4
Hawaii,HI,http://www.hawaii.gov/dbedt/hhfdc,530287.206,90862.93,52.00,750,90,42,4.061,60.20,6.70,27.50,12.90,41.10,32.80,36.71,42.18,the Hawaii Housing Finance and Development Corporation,20,8
Idaho,ID,http://www.idahohousing.com,237453.915,65428.43,43.90,731,95,38,4.023,62.70,20.80,11.80,22.40,33.90,30.10,21.44,24.64,the Idaho Housing and Finance Association,45,23
Illinois,IL,http://www.ihda.org,231085.425,79790.63,57.50,732,94.04,38,4.173,68.00,24.00,5.90,20.70,34.70,26.90,15.17,17.43,the Illinois Housing Development Authority,30,14
Indiana,IN,http://www.ihcda.in.gov,177517.968,68867.85,52.90,718,95,35.87,4.217,55.80,29.00,8.20,29.50,26.40,39.00,14.52,16.68,the Indiana Housing and Community Development Authority,25,10
Iowa,IA,http://www.iowafinanceauthority.gov,189597.013,73775.26,49.20,736,95,35.23,4.036,69.70,16.00,8.60,20.40,33.30,30.60,12.65,14.53,the Iowa Finance Authority,15,11
Kansas,KS,http://www.kshousingcorp.org,197430.112,72025.76,49.90,731,95,36,4.094,58.00,24.90,12.70,24.00,26.50,37.70,16.02,18.41,the Kansas Housing Resources Corporation,27,10
Kentucky,KY,http://www.kyhousing.org,186619.307,60603.1,52.90,719,95,36,4.171,51.60,27.90,10.70,29.50,27.00,42.20,15.81,18.16,the Kentucky Housing Corporation,32,14
Louisiana,LA,http://www.lhc.la.gov,215767.4,59050.9,56.20,714,96.49,38,4.194,48.00,29.30,11.10,32.40,24.50,44.40,20.29,23.31,the Louisiana Housing Corporation,9,3
Maine,ME,http://www.mainehousing.org,234172.048,71104.13,48.20,731,95,38,4.121,56.70,22.20,12.00,24.50,33.30,36.80,21.27,24.44,MaineHousing,91,27
Maryland,MD,http://www.dhcd.maryland.gov,324921.274,99423.4,58.90,729,95,39.59,4.129,52.10,31.40,12.80,27.40,25.70,41.80,17.63,20.26,the Maryland Department of Housing and Community Development,82,57
Massachusetts,MA,http://www.masshousing.com,364245.368,99359.68,58.00,737,90,39,4.106,71.10,22.00,5.50,17.10,39.50,24.50,22.84,26.24,the MassHousing,44,26
Michigan,MI,http://www.michigan.gov/mshda,193168.052,70011.89,52.40,726,95,36,4.231,67.60,21.30,6.30,22.50,32.00,33.40,14.68,16.87,the Michigan State Housing Development Authority,39,29
Minnesota,MN,http://www.mnhousing.gov,246901.985,86102.15,51.50,741,95,37,4.098,69.90,19.20,6.60,18.10,32.80,29.70,15.97,18.34,Minnesota Housing,16,7
Mississippi,MS,http://www.mshomecorp.com,183425.074,53885.83,54.60,708,96.745,37,4.061,38.30,33.60,14.40,36.20,20.00,46.80,20.92,24.03,Mississippi Home Corporation,28,10
Missouri,MO,http://www.mhdc.com,191641.349,67230.15,49.60,729,95,36,4.138,56.10,26.10,10.30,26.00,29.00,37.80,16.45,18.90,the Missouri Housing Development Commission,14,5
Montana,MT,http://www.housing.mt.gov,262449.387,68609.46,43.30,744,91.57,38,4.028,64.50,15.20,13.60,17.30,37.90,31.50,22.98,26.40,the Montana Board of Housing/Housing Division,14,4
Nebraska,NE,http://www.nifa.org,198452.759,74961.33,51.50,738,95,36,4.029,64.10,19.60,12.00,20.20,30.40,34.70,13.96,16.04,the Nebraska Investment Finance Authority,24,11
Nevada,NV,http://www.housing.nv.gov,281286.481,68004.39,52.00,722,95,40,4.372,58.70,26.50,13.90,22.50,33.60,34.80,23.78,27.33,the Nevada Housing Division,9,3
New Hampshire,NH,http://www.nhhfa.org,272323.172,91122.41,52.30,736,95,39.555,4.129,63.40,23.10,9.80,20.00,33.40,33.70,17.30,19.87,the New Hampshire Housing Finance Authority,46,31
New Jersey,NJ,http://www.nj-hmfa.com,324377.798,97973.61,59.90,735,90,40,4.164,65.40,29.20,4.30,18.80,41.00,24.30,18.02,20.71,the New Jersey Housing and Mortgage Finance Agency,16,9
New Mexico,NM,http://www.housingnm.org,220290.888,58076.86,53.00,724,95,38,4.191,52.20,29.80,15.90,27.70,28.50,32.60,20.63,23.70,the New Mexico Mortgage Finance Authority,97,63
New York,NY,http://www.nyshcr.org,320343.872,80253.05,62.50,739,90,39.56,4.124,67.10,25.80,5.60,17.10,42.40,24.20,23.57,27.08,New York State Homes and Community Renewal,59,34
North Carolina,NC,http://www.nchfa.com,240713.963,64269.19,46.40,739,94,36.51,4.146,62.00,17.20,15.50,20.60,34.50,33.40,20.11,23.11,the North Carolina Housing Finance Agency,7,1
North Dakota,ND,http://www.ndhfa.org,250051.214,79840.89,46.50,746,94,36.555,3.977,67.80,15.00,13.50,16.30,35.20,29.20,17.00,19.53,the North Dakota Housing Finance Agency,50,30
Ohio,OH,http://www.ohiohome.org,177839.77,69287.73,55.30,723,95,36.73,4.192,58.20,28.50,9.00,26.50,27.50,36.50,13.29,15.27,the Ohio Housing Finance Agency,34,22
Oklahoma,OK,http://www.ohfa.org,186308.351,62398.19,49.40,720,96.49,36.605,4.169,46.40,28.80,14.70,29.70,24.60,44.40,15.66,17.99,the Oklahoma Housing Finance Agency,37,29
Oregon,OR,http://www.ohcs.oregon.gov,325452.295,74132.97,47.00,745,90,39,4.188,68.80,17.40,10.50,16.10,43.30,25.60,26.37,30.30,Oregon Housing and Community Services,83,45
Pennsylvania,PA,http://www.phfa.org,221780.989,75575.23,57.50,736,95,37,4.128,60.30,28.30,7.60,22.60,31.70,34.10,15.44,17.74,the Pennsylvania Housing Finance Agency,12,5
Rhode Island,RI,http://www.rhodeislandhousing.org,266769.264,80730.14,59.50,727,95,40,4.129,54.60,38.50,6.40,26.00,31.40,36.30,18.75,21.54,Rhode Island Housing,31,17
South Carolina,SC,http://www.schousing.com,228179.597,63828.71,46.00,729,95,37.51,4.165,56.40,22.50,15.70,25.60,31.50,38.10,19.35,22.24,the South Carolina State Housing Finance and Development Authority,12,5
South Dakota,SD,http://www.sdhda.org,209430.154,71962.1,50.00,741,95,37,3.92,56.00,18.20,13.00,20.00,28.00,35.60,19.28,22.15,the South Dakota Housing Development Authority,34,12
Tennessee,TN,http://www.thda.org,233019.526,63145.25,46.50,729,95,37,4.13,53.70,24.20,13.70,25.50,30.90,38.50,18.32,21.05,the Tennessee Housing Development Agency,186,89
Texas,TX,http://www.tdhca.state.tx.us,257358.802,68895.21,51.40,724,95,39.76,4.213,57.50,28.40,12.80,26.40,33.40,35.10,20.88,23.99,the Texas Department of Housing and Community Affairs,29,14
Utah,UT,http://www.utahhousingcorp.org,291352.267,77644.88,48.30,738,95,39,4.16,63.60,25.40,7.30,20.30,30.90,34.20,21.67,24.90,the Utah Housing Corporation,14,8
Vermont,VT,http://www.vhfa.org,245106.082,77726.44,48.30,748,90,37.96,4.046,73.40,12.70,8.00,14.60,41.30,27.30,17.77,20.42,the Vermont Housing Finance Agency,44,25
Virginia,VA,http://www.vhda.com,318550.933,86096.38,54.50,738,95,38.83,4.089,51.30,22.70,22.00,24.10,27.60,42.90,20.51,23.56,the Virginia Housing Development Authority,64,27
Washington,WA,http://www.wshfc.org,351260.392,85103.65,52.50,737,93.61,39,4.193,64.60,18.60,14.70,19.90,36.50,33.00,25.12,28.86,the Washington State Housing Finance Commission,19,3
West Virginia,WV,http://www.wvhdf.com,177699.042,58926.06,55.90,714,96.5,35.91,4.162,45.30,23.50,14.80,31.70,22.30,48.20,19.26,22.13,the West Virginia Housing Development Fund,13,6
Wisconsin,WI,http://www.wheda.com,204632.306,75775.15,51.20,741,94,36,4.11,73.80,14.90,7.50,18.40,34.30,28.70,13.41,15.41,the Wisconsin Housing and Economic Development Authority,48,26
Wyoming,WY,http://www.wyomingcda.com,250152.108,75214.11,44.50,736,95,37.515,3.967,52.30,18.00,17.50,23.70,27.20,41.70,18.91,21.72,the Wyoming Community Development Authority,12,2
